Order_ID,Customer_ID,Customer_name,Product_ID,Product_name,Producty_catagory,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
100,1,Dede,10, bike tires,bikes,card,12,150.99,07/05/2020 04:01 AM,Portugal,Graz,Office Depot.com,50000,Y,
101,2,Emma,5, eggs,food,Wallet,8,6.99,05/06/2020 01:47 AM,Liberia,Curitiba,Target.com,50001,Y,
102,3,Ann-Marie,8,phone,electornic,internet banking,8,200.99,12/27/2020 08:49 AM,Bahrain,Yokohama,Macys.com,$$$$,N,expired card
103,4,Norine,1,Shirt,clothes,card,23,65.99,04/09/2020 11:06 AM,Mauritius,Manzini,KMart.com,50003,Y,
104,5,Alie,4,bannana,food,UPI,18,6.99,07/22/2020 01:47 PM,Malta,Bandung,Walmart.com,50004,Y,
105,6,Aigneis,8,phone,electornic,Wallet,7,500.99,12/26/2020 10:34 AM,Haiti,Xining,Publix.com,50005,N,purchase made while traveling
106,7,Libbie,2,Pants,clothes,internet banking,3,40.99,04/28/2020 07:58 PM,Cuba,Santa Cruz de la Sierra,KMart.com,50006,Y,
107,8,Nollie,8,phone,electornic,UPI,10,200.99,04/11/2020 08:04 AM,"Korea, Republic of",Lusaka,Walmart.com,50007,Y,
108,9,Lucille,2,Pants,clothes,card,27,10.99,11/08/2020 01:30 AM,"Korea, Democratic People""S Republic of",Lyon,Amazon.com,50008,Y,
109,10,Kaia,9,bike,bikes,card,3,300.99,12/19/2020 01:24 PM,Netherlands,Bern,Target.com,50009,Y,
110,11,Kirbee,4,bannana,food,UPI,10,6.99,11/25/2020 07:33 PM,Chile,Longyearbyen,Khols.com,50010,Y,
111,12,Antonietta,4,bannana,food,UPI,29,3.99,12/03/2020 03:59 AM,Egypt,Xining,Target.com,50011,Y,
112,13,Brana,2,Pants,clothes,Wallet,9,40.99,12/08/2020 05:17 PM,Åland Islands,Bergen,Ebay.com,50012,N,payment gateway is misconfigured
113,14,Goldie,8,phone,electornic,Wallet,27,500.99,01/16/2020 02:15 PM,Bolivia,Lanzhou,Publix.com,50013,N,blocked by merchant account
114,15,Roslyn,8,phone,electornic,UPI,10,200.99,10/29/2020 12:48 PM,Åland Islands,Perm,$$$$,50014,N,purchase made while traveling
115,16,Bee,6,milk,food,internet banking,4,6.99,02/23/2020 11:28 PM,Angola,Wellington,Costco.com,50015,N,processor declined
116,17,$$$$,10, bike tires,bikes,UPI,18,350.99,07/15/2020 04:34 AM,Armenia,Melekeok,Macys.com,50016,Y,
117,18,Bee,6,milk,food,UPI,25,3.99,09/27/2020 05:20 AM,Netherlands,Adak,Sears.com,50017,N,blocked by merchant account
118,19,Trixi,5, eggs,food,internet banking,30,3.99,12/04/2020 09:36 PM,Åland Islands,Cayenne,Costco.com,50018,N,account has been closed
119,20,Ginnie,9,bike,bikes,Wallet,30,300.99,09/13/2020 06:23 PM,Congo,Osaka,CVS.com,50019,N,incorrectly entered information
120,21,Vinita,2,Pants,clothes,UPI,14,5.99,03/26/2020 12:58 AM,Eritrea,Basra,Publix.com,50020,N,processor declined
