Order_ID,Customer_ID,Customer_name,Product_ID,Product_name,Product_category,Payment_type,Qty,Price,Datetime,Country,Ecommerce_website_name,Payment_txn_id,Payment_txn_success,Failure_reason
1,31,Baiken Hen,21,etc,etc,card,985,etc,2022-08-12,New Zealand,www.Amazon.com,33029g32366,Y,
2,20,Danielle Will,22,etc,etc,Internet Banking ,251,etc,2022-11-18,ERROR,www.Ebay.com,q1189=q1190,N,incorrectly entered information
3,2,Danny Hue,3,hat,apparel,wallet,404,65.9,2020-01-09,ERROR,www.Amazon.com,)3059|)887,Y,
4,63,Oliva Gems,19,etc,etc,UPI,940,etc,2022-03-26,Finland,www.Ebay.com,l2165al4175,N,purchase made while traveling
5,61,Charlotte Hanson,15,etc,etc,UPI,111,etc,2020-11-03,Russia,www.Amazon.com,{3649H{2146,Y,
6,61,Charlotte Hanson,12,etc,etc,card,133,etc,2022-07-19,Portugal,www.Amazon.com,L2438%L2153,N,purchase made while traveling
7,53,Louis Clark,3,hat,apparel,wallet,907,5.99,2020-12-28,China,www.Ebay.com,[12962[893,N,blocked by merchant account
8,63,Oliva Gems,9,bike,bikes,Internet Banking ,548,300.99,2021-10-05,New Zealand,www.Ebay.com,83446]81220,Y,
9,1,Normand Michel,29,etc,etc,Internet Banking ,781,etc,2021-10-03,Mexico,www.Target.com,K320]K776,Y,
10,70,Gemina Zoe,29,etc,etc,card,954,etc,2022-04-05,Portugal,www.Wal-Mart.com,#3244H#1455,N,blocked by merchant account
11,44,Karmelo Winnie,15,etc,etc,card,38,etc,2022-12-16,United Kingdom,www.Wal-Mart.com,A169wA206,N,payment gateway is misconfigured
12,42,Sherry Cher,0,Computer,electronics,UPI,996,50.99,2020-11-10,Japan,www.Ebay.com,I19757I2132,N,insufficient funds
13,16,Farrah Michelle,13,etc,etc,wallet,562,etc,2021-03-10,Ireland,www.Amazon.com,.222e.1948,N,insufficient funds
14,9,Ben Hues,10,bike tires,bikes,card,865,450.99,2022-04-21,Montenegro,www.Ebay.com,O2397O3445,N,insufficient funds
15,20,Danielle Will,13,etc,etc,UPI,138,etc,2021-04-11,United Kingdom,www.Amazon.com,C1534!C923,Y,
16,54,Luna Starr,28,etc,etc,Internet Banking ,246,etc,2020-12-27,Italy,www.Amazon.com,L4088rL4921,Y,
17,33,Faust Williams,2,Pants,apparel,card,955,10.99,2022-02-24,Iceland,www.Ebay.com,O2435~O944,N,expired card
18,4,Ken Masters,2,Pants,apparel,card,676,10.99,2020-01-24,Ireland,www.Target.com,93308q91877,Y,
19,52,Tony Stark,0,Computer,electronics,Internet Banking ,353,500.99,2020-06-05,China,www.Amazon.com,G1117pG923,Y,
20,17,Christopher Michel,11,etc,etc,wallet,576,etc,2020-09-25,China,www.Wal-Mart.com,j512,j973,Y,
21,21,Kenneth Zah,0,Computer,electronics,UPI,914,5.99,2021-11-27,Canada,www.Target.com,33433[34459,N,purchase made while traveling
22,3,Jerry Jean,4,banana,food,UPI,205,15.99,2022-12-30,Russia,www.Wal-Mart.com,a2703?a2807,N,payment gateway is misconfigured
23,42,Sherry Cher,28,etc,etc,UPI,141,etc,2020-02-29,Finland,www.Amazon.com,C908iC2476,N,payment gateway is misconfigured
24,27,Sol Badguy,24,etc,etc,UPI,699,etc,2021-03-18,Italy,www.Wal-Mart.com,g43289g3239,N,Credit card type isn’t accepted
25,34,Laura Williams,27,etc,etc,wallet,574,etc,2020-11-21,Russia,www.Ebay.com,@1509y@1902,Y,
26,19,Chris garnet,19,etc,etc,UPI,165,etc,2022-10-18,Canada,other,x2712+x600,N,payment gateway is misconfigured
